object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,_culture,_findspot,_object_name_detail,_image_valid
"1979,1012.32",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-32,,,Found/Acquired: Swabue,"1979,1012.32",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.2",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-2,,,Found/Acquired: Swabue,"1979,1012.2",2026-05-27,,Found/Acquired: Swabue,adze,False
"1950,0405.18",adze,1stC BC,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1950-0405-18,https://media.britishmuseum.org/Repository/Documents/2024_1/31_19/fc56f0f2_4c5a_4900_af3a_b10801498c84/large_1950_0405_18.jpg,,Found/Acquired: Liangwang Shan,"1950,0405.18",2026-05-27,,Found/Acquired: Liangwang Shan,adze,
"1979,1012.3",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-3,,,Found/Acquired: Swabue,"1979,1012.3",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.33",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-33,,,Found/Acquired: Swabue,"1979,1012.33",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.11",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-11,,,Found/Acquired: Swabue,"1979,1012.11",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.12",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-12,,,Found/Acquired: Swabue,"1979,1012.12",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.13",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-13,,,Found/Acquired: Swabue,"1979,1012.13",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.26",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-26,,,Found/Acquired: Swabue,"1979,1012.26",2026-05-27,,Found/Acquired: Swabue,adze,False
"2018,6015.6",adze,2010,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/W_2018-6015-6,,,Found/Acquired: Rifai,"2018,6015.6",2026-05-27,,Found/Acquired: Rifai,adze,False
"As1925,0615.1",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As1925-0615-1,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/3929afd6_2918_4ce8_9cd9_a3dd010bd77b/large_01382425_001.jpg,,Found/Acquired: China,"As1925,0615.1",2026-05-27,,Found/Acquired: China,adze,
"1979,1012.10",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-10,,,Found/Acquired: Swabue,"1979,1012.10",2026-05-27,,Found/Acquired: Swabue,adze,False
As.7098,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-7098,https://media.britishmuseum.org/Repository/Documents/2024_6/17_17/d1f32b49_72a9_43f9_998f_b19201209d48/large_IMG_1451.jpg,,Found/Acquired: Yunnan (province),As.7098,2026-05-27,,Found/Acquired: Yunnan (province),adze,
OA+.3875,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-3875,,,Found/Acquired: Yunnan (province),OA+.3875,2026-05-27,,Found/Acquired: Yunnan (province),adze,False
OA+.3881,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-3881,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/807c15b4_db39_46a3_86f1_b1910057458a/large_IMG_1281.jpg,,Found/Acquired: Yunnan (province),OA+.3881,2026-05-27,,Found/Acquired: Yunnan (province),adze,
As.7094,adze / axe,,axe,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-7094,https://media.britishmuseum.org/Repository/Documents/2024_6/16_6/1b2966c8_b788_48cf_a671_b191006578c6/large_IMG_1302.jpg,,Found/Acquired: Tengchong,As.7094,2026-05-27,,Found/Acquired: Tengchong,adze / axe,
OA+.3879,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_OA-3879,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/24848104_2e52_4226_8a21_b191005511f9/large_IMG_1270.jpg,,Found/Acquired: Yunnan (province),OA+.3879,2026-05-27,,Found/Acquired: Yunnan (province),adze,
As.7095,adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_As-7095,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/0a8d5f43_b5d0_4a35_8e7c_b1910062393e/large_IMG_1291.jpg,,Found/Acquired: Yunnan (province),As.7095,2026-05-27,,Found/Acquired: Yunnan (province),adze,
"1979,1012.21",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-21,,,Found/Acquired: Swabue,"1979,1012.21",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.15",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-15,,,Found/Acquired: Swabue,"1979,1012.15",2026-05-27,,Found/Acquired: Swabue,adze,False
"1979,1012.34",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-34,,,Found/Acquired: Swabue,"1979,1012.34",2026-05-27,,Found/Acquired: Swabue,adze,False
"1963,1014.6",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1963-1014-6,,,Found/Acquired: Tai Wan,"1963,1014.6",2026-05-27,,Found/Acquired: Tai Wan,adze,False
"1979,1012.22",adze,,,,,,The British Museum,"London, United Kingdom",https://www.britishmuseum.org/collection/object/A_1979-1012-22,,,Found/Acquired: Swabue,"1979,1012.22",2026-05-27,,Found/Acquired: Swabue,adze,False
