object_id,aligned_artist
86387,China
186765,Leopoldo Méndez
21205,China
75920,China
80215,Chai Zhenyi 柴貞儀 and Chai Jingyi 柴靜儀
22905,Eugène Delacroix
70018,China
68837,China
39385,Jean-Baptiste-Camille Corot
42411,China
69980,China
88202,China
45424,China
70238,China
195395,China
17769,Eleanor Coen
49616,Attributed to Théophile-Alexandre Steinlen
79310,"Lu Zhi 陸治 (Chinese, 1496-1576)"
45912,Leopoldo Méndez
149892,Utagawa Kuniyoshi
14441,Eugène Delacroix
135794,"Jean François Millet (French, 1814-1875)"
69152,China
82306,Zao Wou-Ki
42460,China
21616,China
68700,China
69625,China
202971,China
11032,Paul Gavarni
42417,China
41882,China
69312,China
70606,China
73224,China
195401,China
121835,George Loring Brown
53523,China
68944,China
84100,Attributed to Chen Chun
79494,"Édouard Manet (French, 1832-1883)"
58048,Manchu
22195,China
68820,China
41865,China
21024,China
58283,China
68831,China
182994,Zhou Shenghua
21562,China
68986,China
180724,"Timothy Cole (American, born England, 1852-1931)"
89509,Rodolphe Bresdin
42096,China
68675,China
70663,China
117730,"Pierre Bonnard (French, 1867-1947)"
69285,China
158222,Théodore Caruelle d'Aligny
193326,Wucius Wong
42242,China
21754,China
7811,China
75930,China
69853,China
68677,China
69565,China
87653,China
7805,China
193018,China
79513,Odilon Redon
186739,Leopoldo Méndez
86658,China
21650,China
65909,China
65911,China
69331,China
276594,Irving Penn
241446,Robert Capa
27466,Zao Wou-Ki
68695,China
193049,China
126179,Jean Pierre Norblin De La Gourdaine
28594,"Richard Josey (English, 1840-1906)"
46423,"Ren Yi (Chinese, 1840-1895)"
107912,China
130660,China
49919,Jean François Millet
106616,Odilon Redon
39380,"Jean-Baptiste-Camille Corot (French, 1796-1875)"
69970,China
24098,Northern China or Inner Mongolia
44196,Henri Fantin-Latour
21431,China; probably Shaanxi province
8402,"China, for Export Market"
79406,Odilon Redon
42555,China
183393,China
202975,China
60945,Manchu
49153,Odilon Redon
