name,uri
Chao Mei,http://buct-kg.org/resource/artist/Chao_Mei
Zhu Yu (Zhu Junbi) 朱玉（朱君璧）,http://buct-kg.org/resource/artist/Zhu_Yu_Zhu_Junbi_朱玉_朱君璧
Reginald Marsh,http://buct-kg.org/resource/artist/Reginald_Marsh
Royal Worcester Porcelain Factory (1751–2009),http://buct-kg.org/resource/artist/Royal_Worcester_Porcelain_Factory_1751_2009
"Minton (English, founded 1793)",http://buct-kg.org/resource/artist/Minton_English_founded_1793
Henri Fantin-Latour,http://buct-kg.org/resource/artist/Henri_Fantin_Latour
"China, for the Thai Market",http://buct-kg.org/resource/artist/China_for_the_Thai_Market
William Merritt Chase,http://buct-kg.org/resource/artist/William_Merritt_Chase
"Shen Zhou 沈周 (Chinese, 1427-1509)",http://buct-kg.org/resource/artist/Shen_Zhou_沈周_Chinese_1427_1509
"Wen Zhengming 文徵明 (Chinese, 1470-1559)",http://buct-kg.org/resource/artist/Wen_Zhengming_文徵明_Chinese_1470_1559
Charles Émile Jacque,http://buct-kg.org/resource/artist/Charles_mile_Jacque
Chen Yuping,http://buct-kg.org/resource/artist/Chen_Yuping
"Tang Yin 唐寅 (Chinese, 1470-1523)",http://buct-kg.org/resource/artist/Tang_Yin_唐寅_Chinese_1470_1523
John Constable,http://buct-kg.org/resource/artist/John_Constable
Yao Shou,http://buct-kg.org/resource/artist/Yao_Shou
"Chen Jiayan 陳嘉言 (Chinese, 1539-after 1625)",http://buct-kg.org/resource/artist/Chen_Jiayan_陳嘉言_Chinese_1539_after_1625
Tang Yin,http://buct-kg.org/resource/artist/Tang_Yin
"Attributed to Dai Jin (Chinese, c.1388-1462)",http://buct-kg.org/resource/artist/Attributed_to_Dai_Jin_Chinese_c_1388_1462
"Attributed to He Chaozong (Chinese, active around 1600)",http://buct-kg.org/resource/artist/Attributed_to_He_Chaozong_Chinese_active_around_1600
Alexandre Gabriel Decamps,http://buct-kg.org/resource/artist/Alexandre_Gabriel_Decamps
Dirck Stoop,http://buct-kg.org/resource/artist/Dirck_Stoop
"August Gaber (German, 1823-1891)",http://buct-kg.org/resource/artist/August_Gaber_German_1823_1891
Made at Suzhou Embroidery Research Institute,http://buct-kg.org/resource/artist/Made_at_Suzhou_Embroidery_Research_Institute
Cai Jia,http://buct-kg.org/resource/artist/Cai_Jia
China or Tibet,http://buct-kg.org/resource/artist/China_or_Tibet
"Claude Ferdinand Gaillard (French, 1834-1887)",http://buct-kg.org/resource/artist/Claude_Ferdinand_Gaillard_French_1834_1887
"George Knapton (English, 1698-1778)",http://buct-kg.org/resource/artist/George_Knapton_English_1698_1778
Tai Xiangzhou,http://buct-kg.org/resource/artist/Tai_Xiangzhou
"China, probably Hebei province",http://buct-kg.org/resource/artist/China_probably_Hebei_province
Wenceslaus Hollar,http://buct-kg.org/resource/artist/Wenceslaus_Hollar
"China, probably Jingdezhen, Jiangxi province",http://buct-kg.org/resource/artist/China_probably_Jingdezhen_Jiangxi_province
"Jean Baptiste Isabey (French, 1767-1855)",http://buct-kg.org/resource/artist/Jean_Baptiste_Isabey_French_1767_1855
Wucius Wong,http://buct-kg.org/resource/artist/Wucius_Wong
"Luo Mu 羅牧 (Chinese, 1622-1706)",http://buct-kg.org/resource/artist/Luo_Mu_羅牧_Chinese_1622_1706
Chen Mingyuan,http://buct-kg.org/resource/artist/Chen_Mingyuan
Marie Laurencin,http://buct-kg.org/resource/artist/Marie_Laurencin
Théodore Caruelle d'Aligny,http://buct-kg.org/resource/artist/Th_odore_Caruelle_d_Aligny
"Félicien Rops (Belgian, 1833-1898)",http://buct-kg.org/resource/artist/F_licien_Rops_Belgian_1833_1898
"Jacques Adrien Lavieille (French, 1818-1862)",http://buct-kg.org/resource/artist/Jacques_Adrien_Lavieille_French_1818_1862
Félicien Rops,http://buct-kg.org/resource/artist/F_licien_Rops
"Ker-Xavier Roussel (French, 1867-1944)",http://buct-kg.org/resource/artist/Ker_Xavier_Roussel_French_1867_1944
"Hua Ziyou 華子宥 (Chinese, 19th century)",http://buct-kg.org/resource/artist/Hua_Ziyou_華子宥_Chinese_19th_century
"Jean-Baptiste Lucien (French, c. 1748-1806)",http://buct-kg.org/resource/artist/Jean_Baptiste_Lucien_French_c_1748_1806
Chai Zhenyi 柴貞儀 and Chai Jingyi 柴靜儀,http://buct-kg.org/resource/artist/Chai_Zhenyi_柴貞儀_and_Chai_Jingyi_柴靜儀
Jean-Baptiste-Camille Corot,http://buct-kg.org/resource/artist/Jean_Baptiste_Camille_Corot
Eleanor Coen,http://buct-kg.org/resource/artist/Eleanor_Coen
Attributed to Théophile-Alexandre Steinlen,http://buct-kg.org/resource/artist/Attributed_to_Th_ophile_Alexandre_Steinlen
"Lu Zhi 陸治 (Chinese, 1496-1576)",http://buct-kg.org/resource/artist/Lu_Zhi_陸治_Chinese_1496_1576
Utagawa Kuniyoshi,http://buct-kg.org/resource/artist/Utagawa_Kuniyoshi
George Loring Brown,http://buct-kg.org/resource/artist/George_Loring_Brown
Attributed to Chen Chun,http://buct-kg.org/resource/artist/Attributed_to_Chen_Chun
Zhou Shenghua,http://buct-kg.org/resource/artist/Zhou_Shenghua
Robert Capa,http://buct-kg.org/resource/artist/Robert_Capa
Jean Pierre Norblin De La Gourdaine,http://buct-kg.org/resource/artist/Jean_Pierre_Norblin_De_La_Gourdaine
"Richard Josey (English, 1840-1906)",http://buct-kg.org/resource/artist/Richard_Josey_English_1840_1906
"Ren Yi (Chinese, 1840-1895)",http://buct-kg.org/resource/artist/Ren_Yi_Chinese_1840_1895
"Jean-Baptiste-Camille Corot (French, 1796-1875)",http://buct-kg.org/resource/artist/Jean_Baptiste_Camille_Corot_French_1796_1875
Northern China or Inner Mongolia,http://buct-kg.org/resource/artist/Northern_China_or_Inner_Mongolia
"China, for Export Market",http://buct-kg.org/resource/artist/China_for_Export_Market
