name,uri,era
Qing dynasty (c. 1969),http://buct-kg.org/resource/period/Qing_dynasty_c_1969,Unknown
Ming dynasty (c. 1635),http://buct-kg.org/resource/period/Ming_dynasty_c_1635,Unknown
Late Formative Period (Providencia phase),http://buct-kg.org/resource/period/Late_Formative_Period_Providencia_phase,Unknown
Qing dynasty (c. 1926),http://buct-kg.org/resource/period/Qing_dynasty_c_1926,Unknown
Qing dynasty (c. 1933),http://buct-kg.org/resource/period/Qing_dynasty_c_1933,Unknown
Qing dynasty (c. 1978),http://buct-kg.org/resource/period/Qing_dynasty_c_1978,Unknown
Qing dynasty (c. 1987),http://buct-kg.org/resource/period/Qing_dynasty_c_1987,Unknown
Chicoid,http://buct-kg.org/resource/period/Chicoid,Unknown
Qing dynasty (c. 1979),http://buct-kg.org/resource/period/Qing_dynasty_c_1979,Unknown
Qing dynasty (c. 2001),http://buct-kg.org/resource/period/Qing_dynasty_c_2001,Unknown
16th–early 20th century,http://buct-kg.org/resource/period/16th_early_20th_century,Unknown
Qing dynasty (c. 1908),http://buct-kg.org/resource/period/Qing_dynasty_c_1908,Unknown
c. 300 CE,http://buct-kg.org/resource/period/c_300_CE,Unknown
Late Postclassic Period,http://buct-kg.org/resource/period/Late_Postclassic_Period,Unknown
18th–19th century,http://buct-kg.org/resource/period/18th_19th_century,Unknown
Early Horizon (Ocucaje 7–8),http://buct-kg.org/resource/period/Early_Horizon_Ocucaje_7_8,Unknown
20th century,http://buct-kg.org/resource/period/20th_century,Unknown
Tang dynasty (c. 700),http://buct-kg.org/resource/period/Tang_dynasty_c_700,Unknown
Qing dynasty (c. 1973),http://buct-kg.org/resource/period/Qing_dynasty_c_1973,Unknown
Ming dynasty (c. 1643),http://buct-kg.org/resource/period/Ming_dynasty_c_1643,Unknown
Qing dynasty (c. 1764),http://buct-kg.org/resource/period/Qing_dynasty_c_1764,Unknown
Qing dynasty (c. 1981),http://buct-kg.org/resource/period/Qing_dynasty_c_1981,Unknown
Qing dynasty (c. 1646),http://buct-kg.org/resource/period/Qing_dynasty_c_1646,Unknown
Early Formative Period,http://buct-kg.org/resource/period/Early_Formative_Period,Unknown
Qing dynasty (c. 1824),http://buct-kg.org/resource/period/Qing_dynasty_c_1824,Unknown
Qing dynasty (c. 1941),http://buct-kg.org/resource/period/Qing_dynasty_c_1941,Unknown
Middle Formative Period,http://buct-kg.org/resource/period/Middle_Formative_Period,Unknown
late 13th century,http://buct-kg.org/resource/period/late_13th_century,Unknown
Qing dynasty (c. 1817),http://buct-kg.org/resource/period/Qing_dynasty_c_1817,Unknown
Qing dynasty (c. 1796),http://buct-kg.org/resource/period/Qing_dynasty_c_1796,Unknown
Middle Horizon,http://buct-kg.org/resource/period/Middle_Horizon,Unknown
late 19th–20th century,http://buct-kg.org/resource/period/late_19th_20th_century,Unknown
late 19th or early 20th century,http://buct-kg.org/resource/period/late_19th_or_early_20th_century,Unknown
Qing dynasty (c. 1660),http://buct-kg.org/resource/period/Qing_dynasty_c_1660,Unknown
Qing dynasty (c. 1910),http://buct-kg.org/resource/period/Qing_dynasty_c_1910,Unknown
Qing dynasty (c. 1985),http://buct-kg.org/resource/period/Qing_dynasty_c_1985,Unknown
Qing dynasty (c. 1936),http://buct-kg.org/resource/period/Qing_dynasty_c_1936,Unknown
Qing dynasty (c. 2006),http://buct-kg.org/resource/period/Qing_dynasty_c_2006,Unknown
Qing dynasty (c. 1967),http://buct-kg.org/resource/period/Qing_dynasty_c_1967,Unknown
Qing dynasty (c. 1929),http://buct-kg.org/resource/period/Qing_dynasty_c_1929,Unknown
Qing dynasty (c. 1654),http://buct-kg.org/resource/period/Qing_dynasty_c_1654,Unknown
Qing dynasty (c. 1872),http://buct-kg.org/resource/period/Qing_dynasty_c_1872,Unknown
Qing dynasty (c. 1814),http://buct-kg.org/resource/period/Qing_dynasty_c_1814,Unknown
Qing dynasty (c. 1851),http://buct-kg.org/resource/period/Qing_dynasty_c_1851,Unknown
Ming dynasty (c. 1591),http://buct-kg.org/resource/period/Ming_dynasty_c_1591,Unknown
Ming dynasty (c. 1524),http://buct-kg.org/resource/period/Ming_dynasty_c_1524,Unknown
