object_id,aligned_period
224717,Qing dynasty (c. 2014)
224494,Qing dynasty (c. 2014)
220383,Qing dynasty (c. 2014)
225494,Qing dynasty (c. 2014)
220529,Qing dynasty (c. 2014)
219183,Qing dynasty (c. 2014)
219201,Qing dynasty (c. 2014)
224441,Qing dynasty (c. 2014)
224718,Qing dynasty (c. 2014)
219530,Qing dynasty (c. 2014)
217295,Qing dynasty (c. 2014)
224497,Qing dynasty (c. 2014)
224499,Qing dynasty (c. 2014)
224291,Qing dynasty (c. 2014)
220365,Qing dynasty (c. 2014)
217614,Qing dynasty (c. 2014)
216899,Qing dynasty (c. 2014)
220348,Qing dynasty (c. 2014)
226389,Qing dynasty (c. 2014)
218233,Qing dynasty (c. 2014)
216350,Qing dynasty (c. 2014)
215551,Qing dynasty (c. 2014)
226406,Qing dynasty (c. 2014)
225284,Qing dynasty (c. 2014)
216898,Qing dynasty (c. 2013)
225009,Qing dynasty (c. 2013)
218581,Qing dynasty (c. 2013)
217808,Qing dynasty (c. 2013)
216270,Qing dynasty (c. 2013)
219271,Qing dynasty (c. 2013)
214432,Qing dynasty (c. 2013)
217041,Qing dynasty (c. 2013)
215878,Qing dynasty (c. 2013)
224574,Qing dynasty (c. 2013)
217134,Qing dynasty (c. 2013)
214374,Qing dynasty (c. 2013)
214202,Qing dynasty (c. 2013)
224804,Qing dynasty (c. 2013)
219200,Qing dynasty (c. 2013)
211616,Qing dynasty (c. 2013)
216203,Qing dynasty (c. 2013)
218074,Qing dynasty (c. 2013)
218231,Qing dynasty (c. 2013)
224294,Qing dynasty (c. 2013)
215886,Qing dynasty (c. 2013)
215848,Qing dynasty (c. 2013)
215889,Qing dynasty (c. 2013)
223016,Qing dynasty (c. 2013)
215887,Qing dynasty (c. 2013)
224578,Qing dynasty (c. 2013)
218181,Qing dynasty (c. 2013)
214146,Qing dynasty (c. 2013)
211196,Qing dynasty (c. 2013)
224823,Qing dynasty (c. 2013)
225949,Qing dynasty (c. 2013)
225847,Qing dynasty (c. 2013)
225889,Qing dynasty (c. 2013)
225851,Qing dynasty (c. 2013)
225849,Qing dynasty (c. 2013)
225852,Qing dynasty (c. 2013)
225856,Qing dynasty (c. 2013)
225854,Qing dynasty (c. 2013)
225848,Qing dynasty (c. 2013)
225857,Qing dynasty (c. 2013)
225131,Qing dynasty (c. 2013)
225858,Qing dynasty (c. 2013)
225855,Qing dynasty (c. 2013)
225130,Qing dynasty (c. 2013)
225853,Qing dynasty (c. 2013)
214433,Qing dynasty (c. 2013)
214375,Qing dynasty (c. 2013)
220387,Qing dynasty (c. 2013)
219308,Qing dynasty (c. 2013)
224729,Qing dynasty (c. 2015)
212065,Qing dynasty (c. 2013)
210665,Qing dynasty (c. 2012)
214203,Qing dynasty (c. 2012)
210268,Qing dynasty (c. 2012)
210224,Qing dynasty (c. 2012)
210278,Qing dynasty (c. 2012)
208840,Qing dynasty (c. 2012)
210194,Qing dynasty (c. 2012)
224063,Qing dynasty (c. 2012)
209946,Qing dynasty (c. 2012)
209948,Qing dynasty (c. 2012)
211194,Qing dynasty (c. 2012)
225138,Qing dynasty (c. 2012)
210422,Qing dynasty (c. 2012)
224446,Qing dynasty (c. 2012)
209326,Qing dynasty (c. 2012)
210199,Qing dynasty (c. 2012)
212070,Qing dynasty (c. 2012)
210207,Qing dynasty (c. 2012)
224261,Qing dynasty (c. 2012)
210269,Qing dynasty (c. 2012)
210177,Qing dynasty (c. 2012)
