object_id,aligned_museum
147008,Art Institute of Chicago
35367,Art Institute of Chicago
12229,Art Institute of Chicago
12763,Art Institute of Chicago
31955,Art Institute of Chicago
22200,Art Institute of Chicago
82071,Art Institute of Chicago
12284,Art Institute of Chicago
12198,Art Institute of Chicago
150533,Art Institute of Chicago
15742,Art Institute of Chicago
2532,Art Institute of Chicago
88724,Art Institute of Chicago
20392,Art Institute of Chicago
15910,Art Institute of Chicago
147007,Art Institute of Chicago
9734,Art Institute of Chicago
233326,Art Institute of Chicago
199164,Art Institute of Chicago
12491,Art Institute of Chicago
73236,Art Institute of Chicago
11098,Art Institute of Chicago
26647,Art Institute of Chicago
7967,Art Institute of Chicago
108586,Art Institute of Chicago
9613,Art Institute of Chicago
55906,Art Institute of Chicago
12242,Art Institute of Chicago
12474,Art Institute of Chicago
36417,Art Institute of Chicago
64461,Art Institute of Chicago
12485,Art Institute of Chicago
7903,Art Institute of Chicago
21517,Art Institute of Chicago
12221,Art Institute of Chicago
58159,Art Institute of Chicago
10489,Art Institute of Chicago
64435,Art Institute of Chicago
280345,Art Institute of Chicago
14644,Art Institute of Chicago
32945,Art Institute of Chicago
178888,Art Institute of Chicago
7889,Art Institute of Chicago
149681,Art Institute of Chicago
186784,Art Institute of Chicago
151925,Art Institute of Chicago
22732,Art Institute of Chicago
27741,Art Institute of Chicago
22574,Art Institute of Chicago
12986,Art Institute of Chicago
21366,Art Institute of Chicago
8050,Art Institute of Chicago
15988,Art Institute of Chicago
12247,Art Institute of Chicago
12483,Art Institute of Chicago
181704,Art Institute of Chicago
15586,Art Institute of Chicago
105944,Art Institute of Chicago
21280,Art Institute of Chicago
21644,Art Institute of Chicago
12945,Art Institute of Chicago
63513,Art Institute of Chicago
21289,Art Institute of Chicago
12183,Art Institute of Chicago
90303,Art Institute of Chicago
65914,Art Institute of Chicago
21375,Art Institute of Chicago
21363,Art Institute of Chicago
11140,Art Institute of Chicago
21531,Art Institute of Chicago
12099,Art Institute of Chicago
21238,Art Institute of Chicago
12634,Art Institute of Chicago
21721,Art Institute of Chicago
41910,Art Institute of Chicago
21187,Art Institute of Chicago
21313,Art Institute of Chicago
18014,Art Institute of Chicago
18582,Art Institute of Chicago
47168,Art Institute of Chicago
7925,Art Institute of Chicago
33997,Art Institute of Chicago
79895,Art Institute of Chicago
3330,Art Institute of Chicago
36418,Art Institute of Chicago
142531,Art Institute of Chicago
12119,Art Institute of Chicago
21241,Art Institute of Chicago
53517,Art Institute of Chicago
22708,Art Institute of Chicago
73254,Art Institute of Chicago
111365,Art Institute of Chicago
42879,Art Institute of Chicago
21282,Art Institute of Chicago
12059,Art Institute of Chicago
2517,Art Institute of Chicago
35381,Art Institute of Chicago
83812,Art Institute of Chicago
60877,Art Institute of Chicago
18473,Art Institute of Chicago
49603,Art Institute of Chicago
8093,Art Institute of Chicago
7521,Art Institute of Chicago
26882,Art Institute of Chicago
22725,Art Institute of Chicago
74965,Art Institute of Chicago
59461,Art Institute of Chicago
23502,Art Institute of Chicago
73201,Art Institute of Chicago
99658,Art Institute of Chicago
22210,Art Institute of Chicago
109689,Art Institute of Chicago
5918,Art Institute of Chicago
28487,Art Institute of Chicago
14811,Art Institute of Chicago
183894,Art Institute of Chicago
22744,Art Institute of Chicago
12981,Art Institute of Chicago
70117,Art Institute of Chicago
32492,Art Institute of Chicago
42271,Art Institute of Chicago
12636,Art Institute of Chicago
89452,Art Institute of Chicago
12622,Art Institute of Chicago
42786,Art Institute of Chicago
53544,Art Institute of Chicago
108598,Art Institute of Chicago
12688,Art Institute of Chicago
59464,Art Institute of Chicago
23651,Art Institute of Chicago
192727,Art Institute of Chicago
65902,Art Institute of Chicago
69711,Art Institute of Chicago
156446,Art Institute of Chicago
12013,Art Institute of Chicago
28106,Art Institute of Chicago
59448,Art Institute of Chicago
11497,Art Institute of Chicago
79318,Art Institute of Chicago
21208,Art Institute of Chicago
263123,Art Institute of Chicago
28158,Art Institute of Chicago
12028,Art Institute of Chicago
28109,Art Institute of Chicago
28125,Art Institute of Chicago
12640,Art Institute of Chicago
24960,Art Institute of Chicago
80882,Art Institute of Chicago
2528,Art Institute of Chicago
235667,Art Institute of Chicago
86391,Art Institute of Chicago
10393,Art Institute of Chicago
14803,Art Institute of Chicago
21212,Art Institute of Chicago
21408,Art Institute of Chicago
22711,Art Institute of Chicago
21511,Art Institute of Chicago
12214,Art Institute of Chicago
180744,Art Institute of Chicago
152849,Art Institute of Chicago
21418,Art Institute of Chicago
21483,Art Institute of Chicago
3333,Art Institute of Chicago
45464,Art Institute of Chicago
11690,Art Institute of Chicago
30214,Art Institute of Chicago
15732,Art Institute of Chicago
12407,Art Institute of Chicago
183277,Art Institute of Chicago
142528,Art Institute of Chicago
27507,Art Institute of Chicago
12561,Art Institute of Chicago
199163,Art Institute of Chicago
260343,Art Institute of Chicago
270889,Art Institute of Chicago
