title,object_name,culture,period,dynasty,reign,object_date,medium,classification,department,dimensions,credit_line,country,region,artist,artist_bio,artist_nationality,image_url,image_small,object_url,accession_number,accession_year,is_public_domain,source,image_valid,image_local
Guanyin,Figure,,,,,1710–13,Red stoneware with gilding,Ceramics-Pottery,European Sculpture and Decorative Arts,Overall (confirmed): 14 3/4 × 4 × 4 1/8 in. (37.5 × 10.2 × 10.5 cm),"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973",,,Meissen Manufactory,"German, 1710–present",German,https://images.metmuseum.org/CRDImages/es/original/DP352550.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP352550.jpg,https://www.metmuseum.org/art/collection/search/205883,1974.356.319,1974,True,met_museum,True,
"”Abiding nowhere, the awakened mind arises”",Hanging scroll,Japan,Kamakura (1185–1333) or Nanbokuchō (1336–92) period,,,early to mid-14th century,Hanging scroll; ink on paper,Calligraphy,Asian Art,"Image: 39 1/16 × 22 5/8 in. (99.2 × 57.4 cm)
Overall with mounting: 71 1/4 × 24 in. (181 × 61 cm)
Overall with knobs: 71 1/4 × 25 13/16 in. (181 × 65.6 cm)","Mary and Cheney Cowles Collection, Gift of Mary and Cheney Cowles, 2018",,,Musō Soseki,"Japanese, 1275–1351",Japanese,https://images.metmuseum.org/CRDImages/as/original/DP-17101-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-17101-002.jpg,https://www.metmuseum.org/art/collection/search/816189,2018.853.2,2018,True,met_museum,True,
Vegetable #3,Hanging scroll format mounted to board,China,,,,2015,Ink on paper,Paintings,Asian Art,"70 7/8 × 38 5/8 in. (180 × 98.1 cm)
with wooden board: 8 ft. 6 1/2 in. × 39 7/8 in. × 2 5/8 in. (260.4 × 101.3 × 6.7 cm)","Purchase, Funds from various donors, by exchange, 2018",,,Li Jin,"Chinese, born 1958",Chinese,,,https://www.metmuseum.org/art/collection/search/776714,2018.513,2018,False,met_museum,False,
Marie Antoinette in a Park,Drawing,,,,,ca. 1780–81,"Black chalk, stumped, and white chalk; framing lines in black chalk",Drawings,Drawings and Prints,Sheet: 23 3/16 × 15 7/8 in. (58.9 × 40.4 cm),"Bequest of Mrs. Charles Wrightsman, 2019",,,Elisabeth Louise Vigée Le Brun,"French, Paris 1755–1842 Paris",French,https://images.metmuseum.org/CRDImages/dp/original/DP-18368-001.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP-18368-001.jpg,https://www.metmuseum.org/art/collection/search/824771,2019.138.4,2019,True,met_museum,True,
Virgin and Child with Four Angels,Painting,,,,,ca. 1510–15,Oil on wood,Paintings,European Paintings,24 7/8 x 15 3/8 in. (63.2 x 39.1 cm),"Gift of Mr. and Mrs. Charles Wrightsman, 1977",,,Gerard David,"Netherlandish, Oudewater ca. 1455–1523 Bruges",Netherlandish,https://images.metmuseum.org/CRDImages/ep/original/DP-1410-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-1410-001.jpg,https://www.metmuseum.org/art/collection/search/436102,1977.1.1,1977,True,met_museum,True,
Apostle plate with inscription of Saint Phillip,Plate,,,,,ca. 1740,"Porcelain, with polychrome enamel",Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,Overall (confirmed): 1 × 8 7/8 × 8 7/8 in. (2.5 × 22.5 × 22.5 cm),"Gift of Luísa Vinhais and Jorge Welsh, in honor of Mr. and Mrs. Renato de Albuquerque, 2016",,,,,,https://images.metmuseum.org/CRDImages/es/original/DP-14531-019.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP-14531-019.jpg,https://www.metmuseum.org/art/collection/search/707476,2016.73,2016,True,met_museum,True,
Guardian Lion-Dogs,Figures,Japan,Kamakura period (1185–1333),,,mid-13th century,"Japanese cypress with lacquer, gold leaf, and color",Sculpture,Asian Art,"a: H. 16 3/4 in. (42.5 cm); 
b: H. 18 in. (45.7 cm)","Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",,,,,,https://images.metmuseum.org/CRDImages/as/original/DP-23915-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-23915-001.jpg,https://www.metmuseum.org/art/collection/search/53190,"2015.300.257a, b",2015,True,met_museum,True,
Saint Bridget of Sweden Receiving the Rule of Her Order,Relief,,,,,1459,Marble,Sculpture,European Sculpture and Decorative Arts,"Overall (confirmed): 16 3/4 × 25 1/8 × 2 3/4 in., 57 lb. (42.5 × 63.8 × 7 cm, 25.9 kg)","John Stewart Kennedy Fund, 1914",,,Agostino d'Antonio di Duccio,"Italian, Florence, 1418–1498","Italian, Florence",https://images.metmuseum.org/CRDImages/es/original/DP224276.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP224276.jpg,https://www.metmuseum.org/art/collection/search/192770,14.45,1914,True,met_museum,True,
Musk Cat,Hanging scroll,Japan,Muromachi period (1392–1573),,,mid- to late 16th century,Hanging scroll; ink and color on paper,Paintings,Asian Art,"Image: 29 15/16 × 18 5/16 in. (76 × 46.5 cm)
Overall with mounting: 66 1/8 × 24 1/8 in. (168 × 61.3 cm)
Overall with knobs: 66 1/8 × 25 7/8 in. (168 × 65.8 cm)","Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",,,Uto Gyoshi,"Japanese, active second half of 16th century",Japanese,https://images.metmuseum.org/CRDImages/as/original/DP361166.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP361166.jpg,https://www.metmuseum.org/art/collection/search/53222,2015.300.66,2015,True,met_museum,True,
Ia Orana Maria (Hail Mary),Painting,,,,,1891,Oil on canvas,Paintings,European Paintings,44 3/4 x 34 1/2 in. (113.7 x 87.6 cm),"Bequest of Sam A. Lewisohn, 1951",,,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands",French,https://images.metmuseum.org/CRDImages/ep/original/DT1025.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT1025.jpg,https://www.metmuseum.org/art/collection/search/438821,51.112.2,1951,True,met_museum,True,
