object_id,aligned_period
224576,Qing dynasty (c. 2015)
225347,Qing dynasty (c. 2015)
218962,Qing dynasty (c. 2015)
221709,Qing dynasty (c. 2015)
224301,Qing dynasty (c. 2015)
224731,Qing dynasty (c. 2015)
224722,Qing dynasty (c. 2015)
222741,Qing dynasty (c. 2015)
220363,Qing dynasty (c. 2015)
224895,Qing dynasty (c. 2015)
220283,Qing dynasty (c. 2015)
220183,Qing dynasty (c. 2015)
219270,Qing dynasty (c. 2015)
225731,Qing dynasty (c. 2015)
224579,Qing dynasty (c. 2015)
224555,Qing dynasty (c. 2015)
225610,Qing dynasty (c. 2015)
224792,Qing dynasty (c. 2015)
225611,Qing dynasty (c. 2015)
224866,Qing dynasty (c. 2015)
220318,Qing dynasty (c. 2015)
218284,Qing dynasty (c. 2015)
218903,Qing dynasty (c. 2015)
226107,Qing dynasty (c. 2015)
220423,Qing dynasty (c. 2015)
227533,Qing dynasty (c. 2015)
225288,Qing dynasty (c. 2015)
219268,Qing dynasty (c. 2014)
224715,Qing dynasty (c. 2014)
225295,Qing dynasty (c. 2014)
216276,Qing dynasty (c. 2014)
224495,Qing dynasty (c. 2014)
218259,Qing dynasty (c. 2014)
218232,Qing dynasty (c. 2014)
218010,Qing dynasty (c. 2014)
220337,Qing dynasty (c. 2014)
216753,Qing dynasty (c. 2014)
215856,Qing dynasty (c. 2014)
218606,Qing dynasty (c. 2014)
224714,Qing dynasty (c. 2014)
224496,Qing dynasty (c. 2014)
217613,Qing dynasty (c. 2014)
218182,Qing dynasty (c. 2014)
220598,Qing dynasty (c. 2014)
220364,Qing dynasty (c. 2014)
224716,Qing dynasty (c. 2014)
224577,Qing dynasty (c. 2014)
220184,Qing dynasty (c. 2014)
224717,Qing dynasty (c. 2014)
224494,Qing dynasty (c. 2014)
220383,Qing dynasty (c. 2014)
225494,Qing dynasty (c. 2014)
220529,Qing dynasty (c. 2014)
219183,Qing dynasty (c. 2014)
219201,Qing dynasty (c. 2014)
224441,Qing dynasty (c. 2014)
224718,Qing dynasty (c. 2014)
219530,Qing dynasty (c. 2014)
217295,Qing dynasty (c. 2014)
224497,Qing dynasty (c. 2014)
224499,Qing dynasty (c. 2014)
224291,Qing dynasty (c. 2014)
220365,Qing dynasty (c. 2014)
217614,Qing dynasty (c. 2014)
216899,Qing dynasty (c. 2014)
220348,Qing dynasty (c. 2014)
226389,Qing dynasty (c. 2014)
218233,Qing dynasty (c. 2014)
216350,Qing dynasty (c. 2014)
215551,Qing dynasty (c. 2014)
226406,Qing dynasty (c. 2014)
225284,Qing dynasty (c. 2014)
216898,Qing dynasty (c. 2013)
225009,Qing dynasty (c. 2013)
218581,Qing dynasty (c. 2013)
217808,Qing dynasty (c. 2013)
216270,Qing dynasty (c. 2013)
219271,Qing dynasty (c. 2013)
214432,Qing dynasty (c. 2013)
217041,Qing dynasty (c. 2013)
215878,Qing dynasty (c. 2013)
224574,Qing dynasty (c. 2013)
217134,Qing dynasty (c. 2013)
214374,Qing dynasty (c. 2013)
214202,Qing dynasty (c. 2013)
224804,Qing dynasty (c. 2013)
219200,Qing dynasty (c. 2013)
211616,Qing dynasty (c. 2013)
216203,Qing dynasty (c. 2013)
218074,Qing dynasty (c. 2013)
218231,Qing dynasty (c. 2013)
224294,Qing dynasty (c. 2013)
215886,Qing dynasty (c. 2013)
215848,Qing dynasty (c. 2013)
215889,Qing dynasty (c. 2013)
223016,Qing dynasty (c. 2013)
215887,Qing dynasty (c. 2013)
224578,Qing dynasty (c. 2013)
218181,Qing dynasty (c. 2013)
214146,Qing dynasty (c. 2013)
211196,Qing dynasty (c. 2013)
224823,Qing dynasty (c. 2013)
225949,Qing dynasty (c. 2013)
225847,Qing dynasty (c. 2013)
225889,Qing dynasty (c. 2013)
225851,Qing dynasty (c. 2013)
225849,Qing dynasty (c. 2013)
225852,Qing dynasty (c. 2013)
225856,Qing dynasty (c. 2013)
225854,Qing dynasty (c. 2013)
225848,Qing dynasty (c. 2013)
225857,Qing dynasty (c. 2013)
225131,Qing dynasty (c. 2013)
225858,Qing dynasty (c. 2013)
225855,Qing dynasty (c. 2013)
225130,Qing dynasty (c. 2013)
225853,Qing dynasty (c. 2013)
214433,Qing dynasty (c. 2013)
214375,Qing dynasty (c. 2013)
220387,Qing dynasty (c. 2013)
219308,Qing dynasty (c. 2013)
224729,Qing dynasty (1644-1912)
212065,Qing dynasty (c. 2013)
210665,Qing dynasty (c. 2012)
214203,Qing dynasty (c. 2012)
210268,Qing dynasty (c. 2012)
210224,Qing dynasty (c. 2012)
210278,Qing dynasty (c. 2012)
208840,Qing dynasty (c. 2012)
210194,Qing dynasty (c. 2012)
224063,Qing dynasty (c. 2012)
209946,Qing dynasty (c. 2012)
209948,Qing dynasty (c. 2012)
211194,Qing dynasty (c. 2012)
225138,Qing dynasty (c. 2012)
210422,Qing dynasty (c. 2012)
224446,Qing dynasty (c. 2012)
209326,Qing dynasty (c. 2012)
210199,Qing dynasty (c. 2012)
212070,Qing dynasty (c. 2012)
210207,Qing dynasty (c. 2012)
224261,Qing dynasty (c. 2012)
210269,Qing dynasty (c. 2012)
210177,Qing dynasty (c. 2012)
209947,Qing dynasty (c. 2012)
224309,Qing dynasty (c. 2012)
222904,Qing dynasty (c. 2012)
218241,Qing dynasty (c. 2012)
209424,Qing dynasty (c. 2012)
218240,Qing dynasty (c. 2012)
210025,Qing dynasty (c. 2012)
224298,Qing dynasty (c. 2012)
218239,Qing dynasty (c. 2012)
218158,Qing dynasty (c. 2012)
210945,Qing dynasty (c. 2012)
210173,Qing dynasty (c. 2012)
210137,Qing dynasty (c. 2012)
220362,Qing dynasty (c. 2012)
214201,Qing dynasty (c. 2012)
212058,Qing dynasty (c. 2012)
210174,Qing dynasty (c. 2012)
218009,Qing dynasty (c. 2012)
212059,Qing dynasty (c. 2012)
213879,Qing dynasty (c. 2012)
214447,Qing dynasty (c. 2012)
219272,Qing dynasty (c. 2012)
226393,Qing dynasty (c. 2012)
208971,Qing dynasty (c. 2012)
225805,Qing dynasty (c. 2012)
226104,Qing dynasty (c. 2012)
215069,Qing dynasty (c. 2012)
225609,Qing dynasty (1644-1912)
210175,Qing dynasty (c. 2012)
225869,Qing dynasty (c. 2012)
226390,Qing dynasty (c. 2012)
224833,Qing dynasty (c. 2014)
219309,Qing dynasty (c. 2012)
218230,Qing dynasty (c. 2012)
219199,Qing dynasty (c. 2012)
225735,Qing dynasty (c. 2012)
225736,Qing dynasty (c. 2012)
227099,Qing dynasty (c. 2012)
210628,Qing dynasty (c. 2012)
225732,Qing dynasty (c. 2012)
225283,Qing dynasty (c. 2012)
210944,Qing dynasty (c. 2012)
225624,Qing dynasty (c. 2012)
210182,Qing dynasty (c. 2012)
226392,Qing dynasty (c. 2012)
218242,Qing dynasty (c. 2012)
210172,Qing dynasty (c. 2011)
197576,Qing dynasty (c. 2011)
210798,Qing dynasty (c. 2011)
218605,Qing dynasty (c. 2011)
210219,Qing dynasty (c. 2011)
213589,Qing dynasty (c. 2011)
198904,Qing dynasty (c. 2011)
210216,Qing dynasty (c. 2011)
212821,Qing dynasty (c. 2011)
212823,Qing dynasty (c. 2011)
213181,Qing dynasty (c. 2011)
212824,Qing dynasty (c. 2011)
210217,Qing dynasty (c. 2011)
210545,Qing dynasty (c. 2011)
197577,Qing dynasty (c. 2011)
207864,Qing dynasty (c. 2011)
210212,Qing dynasty (c. 2011)
224285,Qing dynasty (c. 2011)
210427,Qing dynasty (c. 2011)
210193,Qing dynasty (c. 2011)
210218,Qing dynasty (c. 2011)
217071,Qing dynasty (c. 2011)
218229,Qing dynasty (c. 2011)
210267,Qing dynasty (c. 2011)
210215,Qing dynasty (c. 2011)
220467,Qing dynasty (c. 2011)
224255,Qing dynasty (c. 2011)
210176,Qing dynasty (c. 2011)
198916,Qing dynasty (c. 1989)
208767,Qing dynasty (c. 2011)
210213,Qing dynasty (c. 2011)
198903,Qing dynasty (c. 2011)
210276,Qing dynasty (c. 2011)
212825,Qing dynasty (c. 2011)
217070,Qing dynasty (c. 2011)
220466,Qing dynasty (c. 2011)
225657,Qing dynasty (c. 2011)
25247,Qing dynasty (1644-1912)
4942,Qing dynasty (c. 1876)
15010,Qing dynasty (c. 1820)
7111,Qing dynasty (c. 1879)
15014,Qing dynasty (c. 1815)
143675,Qing dynasty (c. 1980)
15012,Qing dynasty (c. 1820)
220492,Qing dynasty (c. 1945)
139465,Qing dynasty (c. 1891)
19935,Qing dynasty (c. 1858)
73995,Qing dynasty (c. 1893)
22746,Qing dynasty (c. 1957)
20000,Qing dynasty (c. 1857)
138054,Qing dynasty (c. 1858)
227552,Qing dynasty (c. 1843)
198854,Qing dynasty (c. 2008)
60915,Qing dynasty (1644-1912)
189775,Qing dynasty (c. 1716)
48,Qing dynasty (c. 1878)
15033,Qing dynasty (c. 1820)
14447,Qing dynasty (c. 1858)
119371,Qing dynasty (c. 1971)
199136,Qing dynasty (c. 1932)
32740,n.d.
188274,Qing dynasty (1644-1912)
147872,Qing dynasty (c. 1894)
75330,Qing dynasty (1644-1912)
121044,Qing dynasty (c. 1940)
65,Qing dynasty (c. 1878)
139460,Qing dynasty (c. 1891)
