object_id,aligned_material
7896,Porcelain
28112,Copper
21555,Stoneware
69688,Jade
70167,Jade
79313,Ivory
5410,Bronze
12065,Earthenware
51432,Stoneware
69801,Jade
21266,Porcelain
58282,Pastel
86423,Bronze
18013,Bronze
37423,Bronze
15726,Copper
23667,Paper
79311,Ivory
92910,Bronze
93923,Ink
47961,
42566,Porcelain
259167,Bone
22771,Ivory
45939,Ivory
8073,Paper
8081,Ivory
104483,Stoneware
84711,Porcelain
40922,Ivory
45806,Ivory
79505,Ink
70256,Ivory
80916,Earthenware
21325,Porcelain
75916,Porcelain
25226,Earthenware
32538,Bronze
144967,Bronze
21307,Porcelain
21310,Porcelain
86420,Bronze
109236,Ivory
42185,Stoneware
86757,Bronze
37725,Earthenware
21467,Stoneware
22740,Ivory
183455,Silk
51825,Earthenware
18454,Porcelain
21496,Stoneware
68041,Ink
117330,Earthenware
15748,Brass
21701,Stoneware
195396,Stoneware
28163,Earthenware
22113,
51423,Stoneware
55836,Bronze
2716,Porcelain
21712,Earthenware
70763,Jade
68711,Linen
12529,Stoneware
69172,Jade
5003,Porcelain
22737,Ivory
9624,Ivory
12794,Earthenware
18007,Jadeite
34873,Bronze
18235,Glass
71199,Jade
109185,Ink
139488,Ivory
139593,Ivory
137971,Ivory
259168,Bone
259170,Bone
132148,
70392,Jade
142529,Limestone
2525,Porcelain
21295,Porcelain
21772,Stoneware
28444,Bronze
12602,Porcelain
14335,Ivory
26091,Copper
86744,Bronze
53282,Silver
58180,Porcelain
83154,Stoneware
133709,Earthenware
21658,Stoneware
22068,
14276,Silk
16397,Bronze
79470,Ivory
263669,Paper
263943,Silver
69827,Jade
6580,Ivory
14326,Ivory
33964,Copper
25230,Porcelain
21698,Porcelain
89468,Silver
82294,Jade
14331,Ivory
12352,Porcelain
80912,Porcelain
70091,Jade
46261,Earthenware
69959,Jade
80721,Ivory
12588,Porcelain
14314,Ivory
21508,Stoneware
80777,Earthenware
80879,Ivory
21319,Porcelain
12344,Porcelain
84370,Paper
52949,Bronze
21286,Porcelain
92911,Bronze
142530,Limestone
14323,Ivory
12514,Stoneware
75361,Silk
199165,Silver
79336,Ivory
39774,Gold
69770,Jade
42390,Porcelain
12470,Stoneware
86747,Bronze
86599,Bronze
259158,Bone
259169,Bone
259178,Bone
6775,Cotton
14809,Gold
105530,Earthenware
21251,Porcelain
109223,Bronze
22715,Ivory
70095,Jade
110866,Earthenware
12721,Porcelain
12346,Cotton
80904,Porcelain
37716,Earthenware
63392,Paper
21594,Stoneware
193827,Stone
13033,Paper
14852,Bronze
105494,Paper
55821,Bronze
180536,Earthenware
53532,Stoneware
21203,Porcelain
12537,Stoneware
21678,Porcelain
21734,Stoneware
33933,Porcelain
2606,Porcelain
70088,Jade
12241,Paper
87714,Stoneware
200630,Ivory
17996,Jadeite
147031,Porcelain
21346,Porcelain
28128,Copper
221163,Porcelain
11435,Gold
11091,Limestone
22735,Ivory
35364,Earthenware
21413,Porcelain
80898,Stoneware
79332,Ivory
79459,Ivory
111081,Ivory
21499,Stoneware
86415,Bronze
117775,Porcelain
8209,Ink
7788,Porcelain
42187,Stoneware
33098,Jade
12679,Porcelain
21254,Porcelain
70757,Jade
42215,Stoneware
21312,Porcelain
36419,
58053,Porcelain
69683,Jade
69700,Jade
68980,Jade
86754,Bronze
72589,Porcelain
21558,Stoneware
260222,Bone
260223,Bone
259162,Bone
259174,Bone
55926,Pastel
42806,Porcelain
33942,Bronze
15737,Brass
12663,Porcelain
56142,Earthenware
138456,Paper
12069,Earthenware
60878,Porcelain
79347,Paper
81842,Silk
12236,Earthenware
68978,Jade
79249,Paper
12305,Porcelain
11151,Copper
45804,Paper
11999,Paper
41426,Ink
79317,Ivory
21681,Porcelain
73256,Stoneware
80887,Porcelain
69937,Jade
81954,Paper
33936,Bronze
27669,Ivory
182864,Wood
2481,Porcelain
65922,Stoneware
183893,Bronze
21887,Stoneware
22212,Earthenware
182783,Wood
14280,Silk
82164,Ivory
186745,Ivory
54714,Paper
3585,Porcelain
12696,Stoneware
103303,Terracotta
150152,Cotton
7832,Porcelain
89836,Porcelain
105591,Stoneware
79223,Paper
187047,Ink
69605,Jade
69708,Stone
79453,Ivory
79362,Ivory
70164,Jade
68989,Jade
65889,Porcelain
13836,Stoneware
59752,Stone
21180,Porcelain
151599,Silver
69019,Jade
70059,Jade
