object_id,title,description,dimensions,accession_number,detail_url,image_url,aligned_period,aligned_type,aligned_material,data_quality_score
69266,The Interplayers: The Lady from the Sea,,,x1980-2485,https://artmuseum.princeton.edu/art/collections/69266,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03451,Qing dynasty (c. 1950),Unknown,Silver,0.65
69264,The Interplayers: The Lady from the Sea,,,x1980-2483,https://artmuseum.princeton.edu/art/collections/69264,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03453,Qing dynasty (c. 1950),Unknown,Silver,0.65
69258,"Gene Peterson, San Francisco",,,x1980-2784,https://artmuseum.princeton.edu/art/collections/69258,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03426,Qing dynasty (c. 1951),Unknown,Silver,0.65
69257,"Gene Peterson, San Francisco",,,x1980-2783,https://artmuseum.princeton.edu/art/collections/69257,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03425,Qing dynasty (c. 1951),Unknown,Silver,0.65
69255,"Susan Freedman, San Francisco",,,x1980-2781,https://artmuseum.princeton.edu/art/collections/69255,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03423,Qing dynasty (c. 1951),Unknown,Silver,0.65
69254,"Susan Freedman, San Francisco",,,x1980-2780,https://artmuseum.princeton.edu/art/collections/69254,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03422,Qing dynasty (c. 1951),Unknown,Silver,0.65
69251,"Sally Freedman, San Francisco",,,x1980-2777,https://artmuseum.princeton.edu/art/collections/69251,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03419,Qing dynasty (c. 1951),Unknown,Silver,0.65
69248,"Sally Freedman, San Francisco",,,x1980-2774,https://artmuseum.princeton.edu/art/collections/69248,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03416,Qing dynasty (c. 1951),Unknown,Silver,0.65
69238,"Embarcadero, San Francisco",,,x1980-2877,https://artmuseum.princeton.edu/art/collections/69238,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03390,Qing dynasty (c. 1952),Unknown,Silver,0.65
69229,"Embarcadero, San Francisco",,,x1980-2855,https://artmuseum.princeton.edu/art/collections/69229,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03401,Qing dynasty (c. 1952),Unknown,Silver,0.65
69224,"Embarcadero, San Francisco",,,x1980-2875,https://artmuseum.princeton.edu/art/collections/69224,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03381,Qing dynasty (c. 1952),Unknown,Silver,0.65
69220,"Point Lobos State Park, California",,,x1980-2849,https://artmuseum.princeton.edu/art/collections/69220,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03363,Qing dynasty (c. 1952),Unknown,Silver,0.65
69215,"Point Lobos State Park, California",,,x1980-2835,https://artmuseum.princeton.edu/art/collections/69215,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03367,Qing dynasty (c. 1952),Unknown,Silver,0.65
69203,The Interplayers: The Lady from the Sea,,,x1980-2477,https://artmuseum.princeton.edu/art/collections/69203,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03332,Qing dynasty (c. 1950),Unknown,Silver,0.65
69196,The Interplayers: No Exit,,,x1980-2469,https://artmuseum.princeton.edu/art/collections/69196,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03339,Qing dynasty (c. 1950),Unknown,Silver,0.65
69194,The Interplayers: No Exit,,,x1980-2467,https://artmuseum.princeton.edu/art/collections/69194,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03341,Qing dynasty (c. 1950),Unknown,Silver,0.65
69193,The Interplayers: No Exit,,,x1980-2466,https://artmuseum.princeton.edu/art/collections/69193,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03342,Qing dynasty (c. 1950),Unknown,Silver,0.65
69189,"Charles Wong, San Francisco",,,x1980-2462,https://artmuseum.princeton.edu/art/collections/69189,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03346,Qing dynasty (c. 1950),Unknown,Silver,0.65
69188,San Francisco,,,x1980-2438,https://artmuseum.princeton.edu/art/collections/69188,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03347,Qing dynasty (c. 1950),Unknown,Silver,0.65
69181,San Francisco,,,x1980-2431,https://artmuseum.princeton.edu/art/collections/69181,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03293,Qing dynasty (c. 1950),Unknown,Silver,0.65
69168,San Francisco,,,x1980-2418,https://artmuseum.princeton.edu/art/collections/69168,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03319,Qing dynasty (c. 1950),Unknown,Silver,0.65
69164,San Francisco,,,x1980-2414,https://artmuseum.princeton.edu/art/collections/69164,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03327,Qing dynasty (c. 1950),Unknown,Silver,0.65
69159,San Francisco,,,x1980-2409,https://artmuseum.princeton.edu/art/collections/69159,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03256,Qing dynasty (c. 1950),Unknown,Silver,0.65
69147,San Francisco,,,x1980-2398,https://artmuseum.princeton.edu/art/collections/69147,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03278,Qing dynasty (c. 1950),Unknown,Silver,0.65
69142,San Francisco,,,x1980-2393,https://artmuseum.princeton.edu/art/collections/69142,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03174,Qing dynasty (c. 1950),Unknown,Silver,0.65
69141,San Francisco,,,x1980-2392,https://artmuseum.princeton.edu/art/collections/69141,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03176,Qing dynasty (c. 1950),Unknown,Silver,0.65
69135,San Francisco,,,x1980-2386,https://artmuseum.princeton.edu/art/collections/69135,https://media.artmuseum.princeton.edu/iiif/3/collection/MWA03188,Qing dynasty (c. 1950),Unknown,Silver,0.65
